Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name
Global,MAT-Mesh-0010,Mesh,Spacer Mesh (3D Mesh),kg,1.6510,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred NYLON
China,MAT-Mesh-0011,Mesh,Spacer Mesh (3D Mesh),kg,13.0177,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Dope Dyed Polyester Knitted Fabric
Global,MAT-Mesh-0012,Mesh,Air Mesh,kg,1.6510,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred NYLON
China,MAT-Mesh-0013,Mesh,Air Mesh,kg,13.0177,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Dope Dyed Polyester Knitted Fabric
Global,MAT-Mesh-0014,Mesh,Monofilament Mesh,kg,1.6510,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred NYLON
China,MAT-Mesh-0015,Mesh,Monofilament Mesh,kg,13.0177,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Dope Dyed Polyester Knitted Fabric
Global,MAT-Mesh-0016,Mesh,Micro-Mesh,kg,1.6510,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred NYLON
China,MAT-Mesh-0017,Mesh,Polyester Mesh,kg,13.0177,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Dope Dyed Polyester Knitted Fabric
Belgium,MAT-Foam-0001,Foam,Polyurethane Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0002,Foam,Memory Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0003,Foam,Latex Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0004,Foam,High-Density Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0005,Foam,Low-Density Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0006,Foam,Gel-Infused Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0007,Foam,Egg Crate Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0008,Foam,Rebond Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0009,Foam,Convoluted Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0010,Foam,Open-Cell Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0011,Foam,Closed-Cell Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Belgium,MAT-Foam-0012,Foam,Microbead Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
Europe,MAT-Foam-0013,Foam,Polyethylene Foam,kg,3.4100,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Polyethylene foam
Global,MAT-Foam-0014,Foam,Sculpted Foam,kg,3.1333,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,EPS hard foam
China,MAT-Stone-0001,Stone,Marble,kg,0.0208,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Marble Block Stone from Norwegian Rose Quarry - China
Sweden,MAT-Stone-0002,Stone,Granite,kg,0.0733,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Natural stone products of granite and limestone
Thailand,MAT-Stone-0003,Stone,Quartz,kg,#DIV/0!,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Quartz stone products
Rest-of-World,MAT-Stone-0004,Stone,Limestone,kg,0.0727,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for limestone, milled, packed"
Switzerland,MAT-Stone-0005,Stone,Limestone,kg,0.0129,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for limestone, milled, packed"
Europe without Switzerland,MAT-Stone-0006,Stone,Limestone,kg,0.0505,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for limestone, milled, packed"
Global,MAT-Stone-0007,Stone,Soapstone,kg,0.0733,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Natural stone products of granite and limestone
Global,MAT-Stone-0008,Stone,Onyx,kg,0.0733,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Natural stone products of granite and limestone
Sweden,MAT-Stone-0009,Stone,Slate,kg,0.1200,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Slate stone pieces
Global,MAT-Stone-0010,Stone,Travertine,kg,0.0733,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Natural stone products of granite and limestone
Rest-of-World,MAT-Stone-0011,Stone,Concrete,kg,0.1053,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for concrete, 20MPa"
Colombia,MAT-Stone-0012,Stone,Concrete,kg,0.1120,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for concrete, 20MPa"
South Africa,MAT-Stone-0013,Stone,Concrete,kg,0.1054,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for concrete, 20MPa"
Peru,MAT-Stone-0014,Stone,Concrete,kg,0.1485,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for concrete, 20MPa"
Northern America,MAT-Stone-0015,Stone,Concrete,kg,0.1072,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for concrete, 20MPa"
Italy,MAT-Stone-0016,Stone,Terrazzo,kg,#DIV/0!,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Terrazzoplatta 12 mm
Rest-of-World,MAT-Stone-0017,Stone,Basalt,kg,0.0171,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for basalt
Global,MAT-Stone-0018,Stone,Jasper,kg,0.0733,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Natural stone products of granite and limestone
Global,MAT-Ceramic-001,Ceramic,Porcelain,kg,0.4580,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"Referred to: 
Ceramic Tableware ProductsPrint, Ground, Cras Collection Manufactured by Bonna Ceramic"
Global,MAT-Rubber-001,Silicon ,Silicon ,kg,3.2700,Ecoinvent,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,market for synthetic rubber
